,기간,자치구,교통안전지수
0,2010,서울시,81.8
1,2010,종로구,65
2,2010,중구,67
3,2010,용산구,79.4
4,2010,성동구,86.2
5,2010,광진구,80.5
6,2010,동대문구,71.7
7,2010,중랑구,79.2
8,2010,성북구,86.3
9,2010,강북구,78
10,2010,도봉구,85.9
11,2010,노원구,81.2
12,2010,은평구,85
13,2010,서대문구,80.1
14,2010,마포구,78.9
15,2010,양천구,88.7
16,2010,강서구,83.6
17,2010,구로구,85.7
18,2010,금천구,79.7
19,2010,영등포구,75.7
20,2010,동작구,83.8
21,2010,관악구,81.1
22,2010,서초구,77.6
23,2010,강남구,77.3
24,2010,송파구,83.8
25,2010,강동구,83
26,2011,서울시,78.3
27,2011,종로구,66.6
28,2011,중구,55.9
29,2011,용산구,79.7
30,2011,성동구,80.7
31,2011,광진구,76
32,2011,동대문구,77.1
33,2011,중랑구,79.2
34,2011,성북구,82.7
35,2011,강북구,85.2
36,2011,도봉구,81.9
37,2011,노원구,82.9
38,2011,은평구,78.4
39,2011,서대문구,76.4
40,2011,마포구,75.7
41,2011,양천구,87.5
42,2011,강서구,84.8
43,2011,구로구,81
44,2011,금천구,77.7
45,2011,영등포구,74
46,2011,동작구,78.8
47,2011,관악구,80.6
48,2011,서초구,80.1
49,2011,강남구,74.2
50,2011,송파구,75.9
51,2011,강동구,84
52,2012,서울시,78
53,2012,종로구,67.3
54,2012,중구,58.9
55,2012,용산구,76.3
56,2012,성동구,83.5
57,2012,광진구,79.3
58,2012,동대문구,73.9
59,2012,중랑구,77.6
60,2012,성북구,83.1
61,2012,강북구,80.4
62,2012,도봉구,80.1
63,2012,노원구,80.3
64,2012,은평구,82
65,2012,서대문구,84.3
66,2012,마포구,76.9
67,2012,양천구,84.8
68,2012,강서구,80.7
69,2012,구로구,78.9
70,2012,금천구,72.9
71,2012,영등포구,74.4
72,2012,동작구,81.2
73,2012,관악구,79.8
74,2012,서초구,77.8
75,2012,강남구,73.6
76,2012,송파구,82
77,2012,강동구,79.7
78,2013,서울시,78.3
79,2013,종로구,66.4
80,2013,중구,58.5
81,2013,용산구,76.6
82,2013,성동구,83
83,2013,광진구,82.9
84,2013,동대문구,73.2
85,2013,중랑구,80
86,2013,성북구,82.1
87,2013,강북구,76.5
88,2013,도봉구,83.6
89,2013,노원구,85.3
90,2013,은평구,86.1
91,2013,서대문구,79.1
92,2013,마포구,74.1
93,2013,양천구,88.3
94,2013,강서구,79.1
95,2013,구로구,79.5
96,2013,금천구,77.1
97,2013,영등포구,74.2
98,2013,동작구,78.9
99,2013,관악구,77.2
100,2013,서초구,79.7
101,2013,강남구,73.1
102,2013,송파구,79.5
103,2013,강동구,83.5
104,2014,서울시,77
105,2014,종로구,68.4
106,2014,중구,65.2
107,2014,용산구,79
108,2014,성동구,81
109,2014,광진구,76.6
110,2014,동대문구,66.6
111,2014,중랑구,79.3
112,2014,성북구,81.1
113,2014,강북구,73.3
114,2014,도봉구,79
115,2014,노원구,81.4
116,2014,은평구,83.4
117,2014,서대문구,75.9
118,2014,마포구,74.2
119,2014,양천구,86.1
120,2014,강서구,79.6
121,2014,구로구,76.1
122,2014,금천구,76.4
123,2014,영등포구,70.2
124,2014,동작구,78
125,2014,관악구,77.5
126,2014,서초구,82.3
127,2014,강남구,74.1
128,2014,송파구,79.6
129,2014,강동구,81.2
130,2015,서울시,79.7
131,2015,종로구,71.3
132,2015,중구,61
133,2015,용산구,76.3
134,2015,성동구,85.8
135,2015,광진구,82.1
136,2015,동대문구,76.7
137,2015,중랑구,82.8
138,2015,성북구,83.9
139,2015,강북구,76.4
140,2015,도봉구,81.4
141,2015,노원구,85.9
142,2015,은평구,81.1
143,2015,서대문구,81.4
144,2015,마포구,80.2
145,2015,양천구,86.3
146,2015,강서구,84.5
147,2015,구로구,77.5
148,2015,금천구,78.4
149,2015,영등포구,74
150,2015,동작구,89.2
151,2015,관악구,80.4
152,2015,서초구,78.6
153,2015,강남구,79
154,2015,송파구,80.3
155,2015,강동구,78.2
156,2016,종로구,76.86
157,2016,중구,68.54
158,2016,용산구,79.07
159,2016,성동구,80.38
160,2016,광진구,82.36
161,2016,동대문구,74.28
162,2016,중랑구,78.28
163,2016,성북구,81.03
164,2016,강북구,78.6
165,2016,도봉구,80.51
166,2016,노원구,78.71
167,2016,은평구,80.27
168,2016,서대문구,80.18
169,2016,마포구,76.16
170,2016,양천구,80.83
171,2016,강서구,80.73
172,2016,구로구,79.4
173,2016,금천구,81.35
174,2016,영등포구,71.22
175,2016,동작구,76.91
176,2016,관악구,74
177,2016,서초구,76.83
178,2016,강남구,68.32
179,2016,송파구,75.01
180,2016,강동구,79.37
181,2017,종로구,75.08
182,2017,중구,73.85
183,2017,용산구,77.25
184,2017,성동구,80.95
185,2017,광진구,81.73
186,2017,동대문구,73.73
187,2017,중랑구,78.72
188,2017,성북구,80.85
189,2017,강북구,78.14
190,2017,도봉구,81.21
191,2017,노원구,80.53
192,2017,은평구,80.78
193,2017,서대문구,81.34
194,2017,마포구,79.06
195,2017,양천구,80.91
196,2017,강서구,78.94
197,2017,구로구,78.87
198,2017,금천구,81.56
199,2017,영등포구,70.24
200,2017,동작구,76.74
201,2017,관악구,81.35
202,2017,서초구,76.88
203,2017,강남구,68.37
204,2017,송파구,71.42
205,2017,강동구,74.34
206,2018,서울시,77.46
207,2018,종로구,77.67
208,2018,중구,71.06
209,2018,용산구,77.69
210,2018,성동구,81.56
211,2018,광진구,80.78
212,2018,동대문구,75.01
213,2018,중랑구,77.85
214,2018,성북구,79.99
215,2018,강북구,76.13
216,2018,도봉구,81.29
217,2018,노원구,78.83
218,2018,은평구,80.26
219,2018,서대문구,81.55
220,2018,마포구,79.32
221,2018,양천구,81.82
222,2018,강서구,79.63
223,2018,구로구,76.62
224,2018,금천구,81.91
225,2018,영등포구,66.96
226,2018,동작구,77.5
227,2018,관악구,79.78
228,2018,서초구,75.08
229,2018,강남구,68.54
230,2018,송파구,70.32
231,2018,강동구,79.29
232,2019,서울시,78.23
233,2019,종로구,79.77
234,2019,중구,75.09
235,2019,용산구,79.64
236,2019,성동구,79.6
237,2019,광진구,83.22
238,2019,동대문구,74.03
239,2019,중랑구,77.13
240,2019,성북구,81.42
241,2019,강북구,78.66
242,2019,도봉구,81.71
243,2019,노원구,78.94
244,2019,은평구,81.21
245,2019,서대문구,78.58
246,2019,마포구,81.59
247,2019,양천구,79.44
248,2019,강서구,75.36
249,2019,구로구,76.28
250,2019,금천구,79.99
251,2019,영등포구,73.98
252,2019,동작구,79.56
253,2019,관악구,80.75
254,2019,서초구,77.35
255,2019,강남구,71.33
256,2019,송파구,73.37
257,2019,강동구,77.77
